column,dtype,n_rows,n_null,pct_null,n_blank,pct_blank,n_non_null_non_blank
TotalCharges,float64,7043,11,0.1562,0,0.0,7032
customerID,string,7043,0,0.0,0,0.0,7043
gender,string,7043,0,0.0,0,0.0,7043
SeniorCitizen,Int64,7043,0,0.0,0,0.0,7043
Partner,string,7043,0,0.0,0,0.0,7043
Dependents,string,7043,0,0.0,0,0.0,7043
tenure,Int64,7043,0,0.0,0,0.0,7043
PhoneService,string,7043,0,0.0,0,0.0,7043
MultipleLines,string,7043,0,0.0,0,0.0,7043
InternetService,string,7043,0,0.0,0,0.0,7043
OnlineSecurity,string,7043,0,0.0,0,0.0,7043
OnlineBackup,string,7043,0,0.0,0,0.0,7043
DeviceProtection,string,7043,0,0.0,0,0.0,7043
TechSupport,string,7043,0,0.0,0,0.0,7043
StreamingTV,string,7043,0,0.0,0,0.0,7043
StreamingMovies,string,7043,0,0.0,0,0.0,7043
Contract,string,7043,0,0.0,0,0.0,7043
PaperlessBilling,string,7043,0,0.0,0,0.0,7043
PaymentMethod,string,7043,0,0.0,0,0.0,7043
MonthlyCharges,float64,7043,0,0.0,0,0.0,7043
Churn,string,7043,0,0.0,0,0.0,7043
Churn_flag,Int64,7043,0,0.0,0,0.0,7043
