metric_id,metric_type,target,n_bootstraps,confidence_level,ci_lower,ci_upper,estimate,ci_width,relative_ci_width,stability_label,status
mean_SeniorCitizen,mean,SeniorCitizen,1000,0.95,0.153627715462161,0.17109186426238818,0.1623563822234843,0.017464148800227175,0.10756675260346522,Moderate,WARN
median_SeniorCitizen,median,SeniorCitizen,1000,0.95,0.0,0.0,0.0,0.0,0.0,Stable,OK
mean_tenure,mean,tenure,1000,0.95,31.80457546500071,32.927076529887835,32.365247905721986,1.1225010648871248,0.0346822946685563,Stable,OK
median_tenure,median,tenure,1000,0.95,27.0,30.0,28.792,3.0,0.10419560989163656,Moderate,WARN
mean_MonthlyCharges,mean,MonthlyCharges,1000,0.95,64.01402010861848,65.49112242297316,64.73920208817266,1.4771023143546813,0.022816195855224115,Stable,OK
median_MonthlyCharges,median,MonthlyCharges,1000,0.95,69.9,70.95125,70.36455000000001,1.051249999999996,0.014940051488995465,Stable,OK
mean_TotalCharges,mean,TotalCharges,1000,0.95,2225.657496315491,2332.9995168926594,2278.418500030669,107.34202057716857,0.04711251272570148,Stable,OK
median_TotalCharges,median,TotalCharges,1000,0.95,1346.2,1442.65,1397.2584,96.45000000000005,0.06902803375524531,Moderate,WARN
mean_Churn_flag,mean,Churn_flag,1000,0.95,0.2551469544228312,0.27630271191253725,0.26549311372994466,0.02115575748970605,0.07968476919226368,Moderate,WARN
median_Churn_flag,median,Churn_flag,1000,0.95,0.0,0.0,0.0,0.0,0.0,Stable,OK
mean_Senior_flag,mean,Senior_flag,1000,0.95,0.153627715462161,0.17109186426238818,0.1623563822234843,0.017464148800227175,0.10756675260346522,Moderate,WARN
median_Senior_flag,median,Senior_flag,1000,0.95,0.0,0.0,0.0,0.0,0.0,Stable,OK
mean_expected_total_from_tenure_monthly,mean,expected_total_from_tenure_monthly,1000,0.95,2224.3003636589524,2331.104018174073,2276.513385169672,106.8036545151208,0.04691545202891946,Stable,OK
median_expected_total_from_tenure_monthly,median,expected_total_from_tenure_monthly,1000,0.95,1343.0550000000003,1442.1375,1391.0382,99.08249999999975,0.07122917257053024,Moderate,WARN
mean_expected_min_total_from_contract,mean,expected_min_total_from_contract,1000,0.95,27.267314304983675,29.11291211486582,28.147832507738176,1.8455978098821468,0.06556802586397265,Moderate,WARN
median_expected_min_total_from_contract,median,expected_min_total_from_contract,1000,0.95,0.0,0.0,0.0,0.0,0.0,Stable,OK
mean_expected_total_senior,mean,expected_total_senior,1000,0.95,2666.811806805973,2948.164764146149,2809.000079854316,281.3529573401761,0.10016124932070773,Moderate,WARN
median_expected_total_senior,median,expected_total_senior,1000,0.95,2030.4,2470.8,2263.8025,440.4000000000001,0.19453993888601154,Wide,FAIL
mean_expected_total_from_payment_profile,mean,expected_total_from_payment_profile,1000,0.95,2224.3003636589524,2331.104018174073,2276.513385169672,106.8036545151208,0.04691545202891946,Stable,OK
median_expected_total_from_payment_profile,median,expected_total_from_payment_profile,1000,0.95,1343.0550000000003,1442.1375,1391.0382,99.08249999999975,0.07122917257053024,Moderate,WARN
