column,n_unique,pct_blank,pct_top_category,entropy,domain_shape,role,feature_group
Churn,2,0.0,73.46301,0.83474,balanced,feature,unknown
Contract,3,0.0,55.01917,1.44093,balanced,feature,unknown
Dependents,2,0.0,70.04118,0.88079,balanced,feature,unknown
DeviceProtection,3,0.0,43.94434,1.52894,balanced,feature,unknown
InternetService,3,0.0,43.95854,1.52889,balanced,feature,unknown
MultipleLines,3,0.0,48.1329,1.35922,balanced,feature,unknown
OnlineBackup,3,0.0,43.84495,1.52929,balanced,feature,unknown
OnlineSecurity,3,0.0,49.66634,1.49626,balanced,feature,unknown
PaperlessBilling,2,0.0,59.22192,0.97532,balanced,feature,unknown
Partner,2,0.0,51.69672,0.99917,balanced,feature,unknown
PaymentMethod,4,0.0,33.57944,1.97319,balanced,feature,unknown
StreamingMovies,3,0.0,39.54281,1.53732,balanced,feature,unknown
StreamingTV,3,0.0,39.89777,1.53717,balanced,feature,unknown
TechSupport,3,0.0,49.31137,1.49902,balanced,feature,unknown
gender,2,0.0,50.47565,0.99993,balanced,feature,unknown
PhoneService,2,0.0,90.31663,0.45888,dominant,feature,unknown
SeniorCitizen_flag_text,2,0.0,83.78532,0.63942,dominant,feature,unknown
customerID,7043,0.0,0.0142,12.78197,fragmented,feature,unknown
