column,role
SeniorCitizen,BinaryFlag
Churn,Categorical
Contract,Categorical
Dependents,Categorical
DeviceProtection,Categorical
InternetService,Categorical
MultipleLines,Categorical
OnlineBackup,Categorical
OnlineSecurity,Categorical
PaperlessBilling,Categorical
Partner,Categorical
PaymentMethod,Categorical
PhoneService,Categorical
StreamingMovies,Categorical
StreamingTV,Categorical
TechSupport,Categorical
gender,Categorical
customerID,ID
MonthlyCharges,Numeric
TotalCharges,Numeric
tenure,Numeric
Churn_flag,Target
