column,method,params,min_before,max_before,min_after,max_after,n_treated,n_rows_dropped,status
SeniorCitizen,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,1.0,0.0,1.0,0,0,ok
tenure,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,72.0,1.0,72.0,11,0,ok
MonthlyCharges,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",18.25,118.75,19.2,114.729,136,0,ok
TotalCharges,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",18.8,8684.8,19.9,8039.255999999999,140,0,ok
Churn_flag,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,1.0,0.0,1.0,0,0,ok
Senior_flag,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99, ""error"": ""numpy boolean subtract, the `-` operator, is not supported, use the bitwise_xor, the `^` operator, or the logical_xor function instead.""}",0.0,1.0,0.0,1.0,0,0,error
expected_total_from_tenure_monthly,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,8550.0,19.75,8038.8,135,0,ok
expected_total_for_zero_tenure,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,0.0,0.0,0.0,7032,0,ok
expected_min_total_from_contract,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,118.75,0.0,114.62899999999999,71,0,ok
expected_total_senior,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",19.45,8449.199999999999,37.249500000000005,8114.039999999997,5925,0,ok
expected_total_from_payment_profile,winsorize,"{""ZSCORE_THRESHOLD"": 4.0, ""LOWER_QUANTILE"": 0.01, ""UPPER_QUANTILE"": 0.99}",0.0,8550.0,19.75,8038.8,135,0,ok
