row_key,customerID,rule_id,section_ref,anomaly_type,left_col,right_col,severity,magnitude
488,4472-LVYGI,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
753,3115-CZMZD,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
936,5709-LVOEQ,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
1082,4367-NUYAO,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
1340,1371-DWPAZ,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
3331,7644-OMVMY,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
3826,3213-VVOLG,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
4380,2520-SGTTA,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
5218,2923-ARZLG,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
6670,4075-WKNIU,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
6754,2775-SEFEE,contract_implies_positive_tenure,2.5.4,dependency_violation,Contract,tenure,ok,1.0
