column,role,feature_group,dtype,n_unique,is_protected,notes
Contract,feature,categorical_low_card,object,3,False,
Dependents,feature,categorical_low_card,object,2,False,
DeviceProtection,feature,categorical_low_card,object,3,False,
InternetService,feature,categorical_low_card,object,3,False,
MultipleLines,feature,categorical_low_card,object,3,False,
OnlineBackup,feature,categorical_low_card,object,3,False,
OnlineSecurity,feature,categorical_low_card,object,3,False,
PaperlessBilling,feature,categorical_low_card,object,2,False,
Partner,feature,categorical_low_card,object,2,False,
PaymentMethod,feature,categorical_low_card,object,4,False,
PhoneService,feature,categorical_low_card,object,2,False,
StreamingMovies,feature,categorical_low_card,object,3,False,
StreamingTV,feature,categorical_low_card,object,3,False,
TechSupport,feature,categorical_low_card,object,3,False,
gender,feature,categorical_low_card,object,2,False,
customerID,id,id,object,7043,True,protected
MonthlyCharges,feature,numeric_continuous,float64,1585,False,
TotalCharges,feature,numeric_continuous,float64,6530,False,
tenure,feature,numeric_continuous,int64,73,False,
SeniorCitizen,feature,numeric_flag,int64,2,False,special_numeric_flag:categorical_int
Churn_flag,target,target,Int64,2,True,protected
Churn,target_aux,target_aux,object,2,True,protected
