column,role,feature_group,pct_blank,domain_shape,n_unique,entropy,entropy_level,pct_top_category,is_near_constant,high_cardinality,near_unique,quasi_identifier_risk,n_rare_values,has_rare_categories,n_invalid_tokens,has_invalid_tokens,n_unexpected_values,has_unexpected_values,n_hygiene_issues,has_hygiene_issues,column_drift_score,drift_severity,has_category_drift,max_redundancy_score,has_redundant_partner,cat_severity,source_sections
customerID,feature,unknown,0.0,dominant,1,0.0,low,100.0,True,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,2.4.4
gender,feature,unknown,0.0,balanced,2,0.99993,medium,50.47565,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
Partner,feature,unknown,0.0,balanced,2,0.99917,medium,51.69672,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
Dependents,feature,unknown,0.0,balanced,2,0.88079,low,70.04118,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
PhoneService,feature,unknown,0.0,dominant,2,0.45888,low,90.31663,False,False,False,False,,False,,False,,False,,False,,none,False,1.0,True,ok,"2.4.10,2.4.4"
MultipleLines,feature,unknown,0.0,balanced,3,1.35922,medium,48.1329,False,False,False,False,,False,,False,,False,,False,,none,False,1.0,True,ok,2.4.10
InternetService,feature,unknown,0.0,balanced,3,1.52889,high,43.95854,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
OnlineSecurity,feature,unknown,0.0,balanced,3,1.49626,medium,49.66634,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
OnlineBackup,feature,unknown,0.0,balanced,3,1.52929,high,43.84495,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
DeviceProtection,feature,unknown,0.0,balanced,3,1.52894,high,43.94434,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
TechSupport,feature,unknown,0.0,balanced,3,1.49902,medium,49.31137,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
StreamingTV,feature,unknown,0.0,balanced,3,1.53717,high,39.89777,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
StreamingMovies,feature,unknown,0.0,balanced,3,1.53732,high,39.54281,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
Contract,feature,unknown,0.0,balanced,3,1.44093,medium,55.01917,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
PaperlessBilling,feature,unknown,0.0,balanced,2,0.97532,low,59.22192,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
PaymentMethod,feature,unknown,0.0,balanced,4,1.97319,high,33.57944,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
Churn,feature,unknown,0.0,balanced,2,0.83474,low,73.46301,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,
SeniorCitizen_flag_text,feature,unknown,0.0,dominant,2,0.63942,low,83.78532,False,False,False,False,,False,,False,,False,,False,,none,False,,False,ok,2.4.4
