column,n_unique,entropy,entropy_level,pct_top_category,is_near_constant,role,feature_group
Churn,2,0.83474,low,73.46301,False,feature,unknown
Contract,3,1.44093,medium,55.01917,False,feature,unknown
Dependents,2,0.88079,low,70.04118,False,feature,unknown
DeviceProtection,3,1.52894,high,43.94434,False,feature,unknown
InternetService,3,1.52889,high,43.95854,False,feature,unknown
MultipleLines,3,1.35922,medium,48.1329,False,feature,unknown
OnlineBackup,3,1.52929,high,43.84495,False,feature,unknown
OnlineSecurity,3,1.49626,medium,49.66634,False,feature,unknown
PaperlessBilling,2,0.97532,low,59.22192,False,feature,unknown
Partner,2,0.99917,medium,51.69672,False,feature,unknown
PaymentMethod,4,1.97319,high,33.57944,False,feature,unknown
StreamingMovies,3,1.53732,high,39.54281,False,feature,unknown
StreamingTV,3,1.53717,high,39.89777,False,feature,unknown
TechSupport,3,1.49902,medium,49.31137,False,feature,unknown
gender,2,0.99993,medium,50.47565,False,feature,unknown
PhoneService,2,0.45888,low,90.31663,False,feature,unknown
SeniorCitizen_flag_text,2,0.63942,low,83.78532,False,feature,unknown
customerID,1,0.0,low,100.0,True,feature,unknown
